# Data from Clarivate Analytics' Web of Science, retrieved 23 November 2018
# This file generated on 2018-11-23 15:30:02
item,AU,DE,SO,id,title,year
42,"Carlaw, K.|Lipsey, R. G.|Zerger, A|Argent, RM",economic growth|productivity|technological change,MODSIM 2005: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION: ADVANCES AND APPLICATIONS FOR MANAGEMENT AND DECISION MAKING,WOS:000290114100115,Towards a Theory of TFP,2005
43,"Gudino-Mendoza, Berenice|Lopez-Mellado, Ernesto|Rivera, ML",hybrid state representation|multiagent systems|time hybrid petri nets|modelling framework,"3RD IBEROAMERICAN CONFERENCE ON ELECTRONICS ENGINEERING AND COMPUTER SCIENCE, CIIECC 2013",WOS:000319902700036,Modelling networked agents' behaviour using timed hybrid Petri nets,2013
44,"Selvyanti, Debby|Bandung, Yoanes|Langi, AZR|Gondokaryono, YS|Arman, AA",requirements engineering|requirements engineering framework|requirements engineering framework for government agencies,2017 4TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY SYSTEMS AND INNOVATION (ICITSI),WOS:000426919200022,The Requirements Engineering Framework Based On ISO 29148:2011 and Multi-View Modeling Framework,2017
45,"Olivera, F|Valenzuela, M|Srinivasan, R|Choi, J|Cho, HD|Koka, S|Agrawal, A",watershed management|geographic information systems (gis)|water quality|hydrologic modeling|computational methods|computer interface,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,WOS:000237031800002,ArcGIS-SWAT: A geodata model and GIS interface for SWAT,2006
46,"Brown, Iain|Everard, Mark",response options|robust decision-making|typology|environmental change|ecosystem services|integrated assessment|policy appraisal,ENVIRONMENTAL SCIENCE & POLICY,WOS:000358699600007,A working typology of response options to manage environmental change and their scope for complementarity using an Ecosystem Approach,2015
47,"Pfennig, B.|Kipka, H.|Wolf, M.|Fink, M.|Krause, P.|Fluegel, W. A.|Anderssen, RS|Braddock, RD|Newham, LTH",hydrological modelling|routing scheme|multi-dimensional linkage|hru|model entities,18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,WOS:000290045002004,Development of an extended routing scheme in reference to consideration of multi-dimensional flow relations between hydrological model entities,2009
48,"Konz, Markus|Seibert, Jan",model calibration|glacier mass balances|monte carlo simulations|hbv model,JOURNAL OF HYDROLOGY,WOS:000277802100022,On the value of glacier mass balances for hydrological model calibration,2010
49,"Essou, Gilles R. C.|Arsenault, Richard|Brissette, Francois P.",interpolated data|bias|hydrological modeling|calibration|performance comparison,JOURNAL OF HYDROLOGY,WOS:000376212200031,Comparison of climate datasets for lumped hydrological modeling over the continental United States,2016
50,"Candela, Angela|Freni, Gabriele|Mannina, Giorgio|Viviani, Gaspare",non-point pollution sources|point pollution sources|river water quality modelling|river water quality monitoring|urban drainage-integrated modelling,JOURNAL OF HYDROINFORMATICS,WOS:000298618300003,Receiving water body quality assessment: an integrated mathematical approach applied to an Italian case study,2012
51,"Warren, R.|Santos, S. de la Nava|Arnell, N. W.|Bane, M.|Barker, T.|Barton, C.|Ford, R.|Fuessel, H.-M.|Hankin, Robin K. S.|Hinkel, J.|Klein, Rupert|Linstead, C.|Kohler, J.|Mitchell, T. D.|Osborn, T. J.|Pan, H.|Raper, S. C. B.|Riley, G.|Schellnhueber, H. J.|Winne, S.|Anderson, D.",,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000257094800010,"Development and illustrative outputs of the Community Integrated Assessment System (CIAS), a multi-institutional modular integrated assessment approach for modelling climate change (vol 23, pg 592, 2008)",2008
52,"Kim, Shaun S. H.|Dutta, Dushmanta|Egan, Chas A.|Dugge, Juernjakob|Singh, Ramneek|Davis, Geoff P.|Rahman, Joel M.",custom functionality|ewater source|hydrological modelling|plug-ins|river modelling|water resources management,JOURNAL OF HYDROINFORMATICS,WOS:000350871800006,Custom functionality and integrative approaches for hydrological modelling tools for water resources planning and management,2015
53,"Greco, G|Guzzo, A|Pontieri, L|Sacca, D|Galindo, F|Takizawa, M|Traunmuller, R",process modeling|mining|inheritance|workflows|ontologies,"DATABASE AND EXPERT SYSTEMS APPLICATIONS, PROCEEDINGS",WOS:000223762500002,An ontology-driven process modeling framework,2004
54,"Momblanch, Andrea|Paredes-Arquiola, Javier|Andreu, Joaquin",ecosystem services|freshwater provisioning|water resources management|integrated modelling|water scarcity|aquatool,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000403644700007,Improved modelling of the freshwater provisioning ecosystem service in water scarce river basins,2017
55,"Greco, R.|Comegna, L.|Damiano, E.|Guida, A.|Olivares, L.|Picarelli, L.",,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000326603200022,Hydrological modelling of a slope covered with shallow pyroclastic deposits from field monitoring data,2013
56,"Abelen, Sarah|Seitz, Florian",soil moisture|correlation analysis|data harmonization|grace|wghm|ascat,REMOTE SENSING OF ENVIRONMENT,WOS:000322055600009,Relating satellite gravimetry data to global soil moisture products via data harmonization and correlation analysis,2013
57,"Kraan, Oscar|Kramer, Gert Jan|van der Lei, Telli|Huppes, Gjalt|Jager, W|Verbrugge, R|Flache, A|DeRoo, G|Hoogduin, L|Hemelrijk, C",integrated assessment modelling|agent based modelling|cost-benefit analysis|mitigation|adaptation|climate change,ADVANCES IN SOCIAL SIMULATION 2015,WOS:000418582900018,Modelling the Energy Transition: Towards an Application of Agent Based Modelling to Integrated Assessment Modelling,2017
58,"Rasanen, Timo A.|Someth, Paradis|Lauri, Hannu|Koponen, Jorma|Sarkkula, Juha|Kummu, Matti",mekong river|hydropower|transboundary|discharge|flood pulse|hydrological modelling,JOURNAL OF HYDROLOGY,WOS:000394399100003,Observed river discharge changes due to hydropower operations in the Upper Mekong Basin,2017
59,"Dumas, Patrice|Ha-Duong, Minh",,CLIMATIC CHANGE,WOS:000316129500005,Optimal growth with adaptation to climate change,2013
60,"Kim, Jee-Seon|Frees, Edward W.",hierarchical linear models|omitted effects|model specification test|fixed-effects estimators|random-effects estimators|hausman test|unobserved heterogeneity,PSYCHOMETRIKA,WOS:000245010700003,Omitted variables in multilevel models,2006
61,"Maulik, Romit|San, Omer",two-dimensional turbulence|large eddy simulations|geophysical flows|dynamic modeling|smagorinsky model|leith model,COMPUTERS & FLUIDS,WOS:000414882800003,A stable and scale-aware dynamic modeling framework for subgrid-scale parameterizations of two-dimensional turbulence,2017
62,"Sayer, AG|Willett, JB",,MULTIVARIATE BEHAVIORAL RESEARCH,WOS:000078567200005,A cross-domain model for growth in adolescent alcohol expectancies,1998
63,"Le Page, Y.|Hurtt, G.|Thomson, A. M.|Bond-Lamberty, B.|Patel, P.|Wise, M.|Calvin, K.|Kyle, P.|Clarke, L.|Edmonds, J.|Janetos, A.",natural disturbances|climate change|integrated assessment|climate mitigation|climate policies,ENVIRONMENTAL RESEARCH LETTERS,WOS:000316998300081,Sensitivity of climate mitigation strategies to natural disturbances,2013
64,"Li, Yingchun|Huang, Huanping|Ju, Hui|Lin, Erda|Xiong, Wei|Han, Xue|Wang, Heran|Peng, Zhengping|Wang, Yanqun|Xu, Jianwen|Cao, Yang|Hu, Wei",adaptive capacity|potential drought|vulnerability|winter wheat|huang-huai-hai plain,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,WOS:000358463000012,Assessing vulnerability and adaptive capacity to potential drought for winter-wheat under the RCP 8.5 scenario in the Huang-Huai-Hai Plain,2015
65,"Zhang, Chengfu|Jamieson, Rob C.|Meng, Fan-Rui|Gordon, Robert|Bourque, Charles P. -A.",ecosystem modelling|forest rotation|seasonal stream hg concentrations|species effects|stream water quality|wetland distribution,WATER AIR AND SOIL POLLUTION,WOS:000382761400031,Projecting In-stream Dissolved Organic Carbon and Total Mercury Concentrations in Small Watersheds Following Forest Growth and Clearcutting,2016
66,"McInerney, David|Keller, Klaus",,CLIMATIC CHANGE,WOS:000260371000004,Economically optimal risk reduction strategies in the face of uncertain climate thresholds,2008
67,"Droogers, P|Bastiaanssen, WGM|Beyazgul, M|Kayam, Y|Kite, GW|Murray-Rust, H",modeling|irrigation|water balance|evapotranspiration,AGRICULTURAL WATER MANAGEMENT,WOS:000085860300004,Distributed agro-hydrological modeling of an irrigation system in western Turkey,2000
68,"Dorao, C. A.|Fernandino, M.|Patruno, L. E.|Dupuy, P. M.|Jakobsen, H. A.|Svendsen, H. F.",population balance modeling|entrainment and deposition|natural gas|least squares method,APPLIED MATHEMATICAL MODELLING,WOS:000266140200003,Macroscopic description of droplet-film interaction for gas-liquid systems,2009
69,"Beven, K.|Smith, P. J.|Wood, A.",,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000296745600009,On the colour and spin of epistemic error (and what we might do about it),2011
