# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
1796,WOS:000288275500002,2010,"Complexity, collective effects, and modeling of ecosystems: formation, function, and stability","Jensen, Henrik Jeldtoft|Arcaute, Elsa|Li, BL",ECOLOGICAL COMPLEXITY AND SUSTAINABILITY,complexity|statistical mechanics|emergence|evolution|ecology,10.1111/j.1749-6632.2009.05416.x,http://dx.doi.org/10.1111/j.1749-6632.2009.05416.x,,,,,,
4725,WOS:000284343400009,2010,"Hydrological modelling of a closed lake (Laguna Mar Chiquita, Argentina) in the context of 20th century climatic changes","Troin, Magali|Vallet-Coulomb, Christine|Sylvestre, Florence|Piovano, Eduardo",JOURNAL OF HYDROLOGY,climate change|lake model|saline lake|southeastern south america|laguna mar chiquita,10.1016/j.jhydrol.2010.08.019,http://dx.doi.org/10.1016/j.jhydrol.2010.08.019,,,,,,
4726,WOS:000276355300009,2010,Predicting the Impact of Global Warming on Soil Water Resources in Marginal Forests of the Middle Volga Region,"Kolomyts, E. G.|Surova, N. A.",WATER RESOURCES,marginal forest ecosystems|soil moisture reserves|climatic forecast|ecological modeling and forecasting,10.1134/S0097807810010094,http://dx.doi.org/10.1134/S0097807810010094,,,,,,
2416,WOS:000276787000006,2010,"Investigation of the performance of a simple rainfall disaggregation scheme using semi-distributed hydrological modelling of the Lee catchment, UK","Segond, Marie-Laure|Wheater, Howard S.|Onof, Christian",HYDROLOGY RESEARCH,disaggregation|rainfall|runoff|semi-distributed modelling,10.2166/nh.2010.091,http://dx.doi.org/10.2166/nh.2010.091,,,,,,
747,WOS:000276181100028,2010,Emission standards versus immission standards for assessing the impact of urban drainage on ephemeral receiving water bodies,"Freni, Gabriele|Mannina, Giorgio|Viviani, Gaspare",WATER SCIENCE AND TECHNOLOGY,urban drainage integrated modelling|water framework directive|water quality management|water quality monitoring,10.2166/wst.2010.887,http://dx.doi.org/10.2166/wst.2010.887,,,,,,
3636,WOS:000277893300007,2010,Current state and future development of blue water availability and blue water demand: A view at seven case studies,"Menzel, Lucas|Matovelle, Alejandra",JOURNAL OF HYDROLOGY,blue water|water availability|water withdrawals|hydrological modelling|global change|scenarios,10.1016/j.jhydrol.2010.02.018,http://dx.doi.org/10.1016/j.jhydrol.2010.02.018,,,,,,
4729,WOS:000278682000032,2010,Integrated assessment of a new Waste-to-Energy facility in Central Greece in the context of regional perspectives,"Perkoulidis, G.|Papageorgiou, A.|Karagiannidis, A.|Kalogirou, S.",WASTE MANAGEMENT,,10.1016/j.wasman.2009.11.021,http://dx.doi.org/10.1016/j.wasman.2009.11.021,,,,,,
3053,WOS:000277103800001,2010,A generic approach for developing process-level hydrologic modeling components,"Castronova, Anthony M.|Goodall, Jonathan L.",ENVIRONMENTAL MODELLING & SOFTWARE,hydrologic modeling|modeling software architectures|component-based modeling|integrated modeling|multidisciplinary modeling,10.1016/j.envsoft.2010.01.003,http://dx.doi.org/10.1016/j.envsoft.2010.01.003,,,,,,
802,WOS:000271700500009,2010,Simplifying environmental model reuse,"Holzworth, Dean P.|Huth, Neil I.|de Voil, Peter G.",ENVIRONMENTAL MODELLING & SOFTWARE,model|simulation|component|interoperability|framework independent|apsim,10.1016/j.envsoft.2008.10.018,http://dx.doi.org/10.1016/j.envsoft.2008.10.018,,,,,,
4587,WOS:000278943900004,2010,Integrated assessment on multi-temporal and multi-sensor combinations for reducing cloud obscuration of MODIS snow cover products of the Pacific Northwest USA,"Gao, Yang|Xie, Hongjie|Yao, Tandong|Xue, Chongsheng",REMOTE SENSING OF ENVIRONMENT,adjacent temporal deduction|fixed-day combination|flexible multi-day combination|multi-sensor combination|accuracy assessment,10.1016/j.rse.2010.02.017,http://dx.doi.org/10.1016/j.rse.2010.02.017,,,,,,
1421,WOS:000281345200018,2010,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,"Luckow, P.|Wise, M. A.|Dooley, J. J.|Kim, S. H.",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,bioenergy|carbon dioxide capture and storage|climate change|greenhouse gas emissions mitigation|electricity generation sector|transportation sector|biomass energy production,10.1016/j.ijggc.2010.06.002,http://dx.doi.org/10.1016/j.ijggc.2010.06.002,,,,,,
3721,WOS:000279514200018,2010,Modeling Nutrient Flows in the Food Chain of China,"Ma, L.|Ma, W. Q.|Velthof, G. L.|Wang, F. H.|Qin, W.|Zhang, F. S.|Oenema, O.",JOURNAL OF ENVIRONMENTAL QUALITY,,10.2134/jeq2009.0403,http://dx.doi.org/10.2134/jeq2009.0403,,,,,,
3950,WOS:000278606800004,2010,"Identification of regional atmospheric PM10 transport pathways using HYSPLIT, MM5-CMAQ and synoptic pressure pattern analysis","Wang, F.|Chen, D. S.|Cheng, S. Y.|Li, J. B.|Li, M. J.|Ren, Z. H.",ENVIRONMENTAL MODELLING & SOFTWARE,air quality|cluster analysis|hysplit model|mm5-cmaq model|pm10|synoptic pressure pattern|transport pathway,10.1016/j.envsoft.2010.02.004,http://dx.doi.org/10.1016/j.envsoft.2010.02.004,,,,,,
4582,WOS:000281009800004,2010,An integrated model for assessing the risk of TCE groundwater contamination to human receptors and surface water ecosystems,"McKnight, Ursula S.|Funder, Simon G.|Rasmussen, Jes J.|Finkel, Michael|Binning, Philip J.|Bjerg, Poul L.",ECOLOGICAL ENGINEERING,system dynamics|risk-based approaches|integrated modeling|chlorinated solvents|uncertainty|hyporheic zone|contaminated sites,10.1016/j.ecoleng.2010.01.004,http://dx.doi.org/10.1016/j.ecoleng.2010.01.004,,,,,,
758,WOS:000279666700015,2010,"Comparative reflections on the use of modelling tools in conflictive water management settings: The Mancha Occidental aquifer, Spain","Martinez-Santos, P.|Henriksen, H. J.|Zorrilla, R.|Martinez-Alfaro, P. E.",ENVIRONMENTAL MODELLING & SOFTWARE,participatory modelling|groundwater modelling|bayesian belief networks|mancha occidental|aquifer|integrated assessment,10.1016/j.envsoft.2008.11.011,http://dx.doi.org/10.1016/j.envsoft.2008.11.011,,,,,,
4174,WOS:000277745200005,2010,Modeling Controlled Water Systems,"van Andel, Schalk Jan|Price, Roland|Lobbrecht, Arnold|van Kruiningen, Frans",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,control systems|simulation|hydrologic models|drainage water management|canals,10.1061/(ASCE)IR.1943-4774.0000159,http://dx.doi.org/10.1061/(ASCE)IR.1943-4774.0000159,,,,,,
