# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018
# This file generated on 2018-11-23 17:10:07
item,AU,DE,DOI,SO,id,title,year,DOI link
809,"Liu, Yanhua|Wang, Yaqi|Zhang, Jie|Sun, Liu|Zhang, Anqi|Torres, Oscar Lopez|Guo, Ruixin|Chen, Jianqiu",ceftazidime|photoproducts|feeding behavior|rotifer|exposure and post-exposure,10.1016/j.ecoenv.2017.06.039,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,WOS:000408520100030,An integrated assessment of ceftazidime and photoproducts on the feeding behavior of rotifers: From exposure to post-exposure,2017,https://dx.doi.org/10.1016/j.ecoenv.2017.06.039
806,"Kurtz, Wolfgang|Lapin, Andrei|Schilling, Oliver S.|Tang, Qi|Schiller, Eryk|Braun, Torsten|Hunkeler, Daniel|Vereecken, Harry|Sudicky, Edward|Kropf, Peter|Franssen, Harrie-Jan Hendricks|Brunner, Philip",cloud computing|integrated hydrological modelling|data assimilation|water resources management|hydrogeosphere|wireless sensor networks,10.1016/j.envsoft.2017.03.011,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000403512500029,"Integrating hydrological modelling, data assimilation and cloud computing for real-time management of water resources",2017,https://dx.doi.org/10.1016/j.envsoft.2017.03.011
748,"Green, Emma L.|Eigenbrod, Felix|Schreckenberg, Kate|Willcock, Simon",africa|ecosystem service|forest|modelling|sustainable forest management|yield|zomba,10.1017/S0376892916000485,ENVIRONMENTAL CONSERVATION,WOS:000395481800008,Modelling tree growth to determine the sustainability of current off-take from miombo woodland: a case study from rural villages in Malawi,2017,https://dx.doi.org/10.1017/S0376892916000485
804,"Marcos-Garcia, P.|Lopez-Nicolas, A.|Pulido-Velazquez, M.",standardized drought indices|climate change impact|meteorological droughts|hydrological droughts|evapotranspiration,10.1016/j.jhydrol.2017.09.028,JOURNAL OF HYDROLOGY,WOS:000415769600021,Combined use of relative drought indices to analyze climate change impact on meteorological and hydrological droughts in a Mediterranean basin,2017,https://dx.doi.org/10.1016/j.jhydrol.2017.09.028
750,"Hong, Yi|Bonhomme, Celine|Van den Bout, Bastian|Jetten, Victor|Chebbo, Ghassan",integrated modelling|traffic-related pollutants|spatially-distributed modelling|openlisem|swmm|urban stormwater,10.1016/j.envsoft.2017.06.047,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000408356600014,"Integrating atmospheric deposition, soil erosion and sewer transport models to assess the transfer of traffic-related pollutants in urban areas",2017,https://dx.doi.org/10.1016/j.envsoft.2017.06.047
751,"Chapra, Steven C.|Boehlert, Brent|Fant, Charles|Bierman, Victor J.|Henderson, Jim|Mills, David|Mas, Diane M. L.|Rennels, Lisa|Jantarasami, Lesley|Martinich, Jeremy|Strzepek, Kenneth M.|Paerl, Hans W.",,10.1021/acs.est.7b01498,ENVIRONMENTAL SCIENCE & TECHNOLOGY,WOS:000407987400007,Climate Change Impacts on Harmful Algal Blooms in US Freshwaters: A Screening-Level Assessment,2017,https://dx.doi.org/10.1021/acs.est.7b01498
753,"Ofoegbu, G. I.|Dasgupta, B.|Manepally, C.|Stothoff, S. A.|Fedors, R.",expansive clay|bentonite|unsaturated|suction|bishop principle|swelling pressure,10.1007/s12665-017-6884-2,ENVIRONMENTAL EARTH SCIENCES,WOS:000408499100009,Modeling the mechanical behavior of unsaturated expansive soils based on Bishop principle of effective stress,2017,https://dx.doi.org/10.1007/s12665-017-6884-2
755,"Alcaraz, Mar|Vazquez-Sune, Enric|Velasco, Violeta|Criollo, Rotman",loose coupling approach|hydrogeological numerical model|mesh generation,10.1007/s12665-017-6709-3,ENVIRONMENTAL EARTH SCIENCES,WOS:000403434600002,A loosely coupled GIS and hydrogeological modeling framework,2017,https://dx.doi.org/10.1007/s12665-017-6709-3
757,"Fraser, Hannah|Rumpff, Libby|Yen, Jian D. L.|Robinson, Doug|Wintle, Brendan A.",bayesian network|multicriteria decision analysis|species distribution models|state-and-transition model|trade-offs,10.1111/cobi.12939,CONSERVATION BIOLOGY,WOS:000417183900020,Integrated models to support multiobjective ecological restoration decisions,2017,https://dx.doi.org/10.1111/cobi.12939
758,"Thorbek, Pernille|Campbell, Peter J.|Thompson, Helen M.",ecological risk assessment|environmental modeling|population modeling|population-level effects|ecological modeling|honeybee,10.1002/etc.3581,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,WOS:000394698700024,COLONY IMPACT OF PESTICIDE-INDUCED SUBLETHAL EFFECTS ON HONEYBEE WORKERS: A SIMULATION STUDY USING BEEHAVE,2017,https://dx.doi.org/10.1002/etc.3581
