# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-04 16:02:46
item,AU,DE,SO,id,title,year
27,"Merritt, W. S.|Fu, B.|Ticehurst, J. L.|El Sawah, S.|Vigiak, O.|Roberts, A. M.|Dyer, F.|Pollino, C. A.|Guillaume, J. H. A.|Croke, B. F. W.|Jakeman, A. J.",decision support|evaluation|water resources|stakeholders|social learning|integrated modelling,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000403644700005,Realizing modelling outcomes: A synthesis of success factors and their use in a retrospective analysis of 15 Australian water resource projects,2017
28,"Kraucunas, Ian|Clarke, Leon|Dirks, James|Hathaway, John|Hejazi, Mohamad|Hibbard, Kathy|Huang, Maoyi|Jin, Chunlian|Kintner-Meyer, Michael|van Dam, Kerstin Kleese|Leung, Ruby|Li, Hong-Yi|Moss, Richard|Peterson, Marty|Rice, Jennie|Scott, Michael|Thomson, Allison|Voisin, Nathalie|West, Tristram",,CLIMATIC CHANGE,WOS:000352205300016,"Investigating the nexus of climate, energy, water, and land at decision-relevant scales: the Platform for Regional Integrated Modeling and Analysis (PRIMA)",2015
29,"Costanza, Robert|de Groot, Rudolf|Braat, Leon|Kubiszewski, Ida|Fioramonti, Lorenzo|Sutton, Paul|Farber, Steve|Grasso, Monica",,ECOSYSTEM SERVICES,WOS:000417085800001,Twenty years of ecosystem services: How far have we come and how far do we still need to go?,2017
30,"Morales, Viviana M.|Mier, Jose M.|Garcia, Marcelo H.",cso|hydraulic of sewers|integrated modeling,URBAN WATER JOURNAL,WOS:000387449500011,Innovative modeling framework for combined sewer overflows prediction,2017
31,"Liu, L.|Li, R.|Wang, Y. Z.",water cycle|distributed hydrological model|downscaling|flood|water resources|extreme events,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,WOS:000403811200075,"EVALUATION OF CLIMATE CHANGE IMPACTS ON HYDROLOGICAL PROCESSES IN THE YANGTZE RIVER DELTA REGION, CHINA",2017
32,"Dai, Shanshan|Li, Lanhai|Xu, Honggang",integrated modeling|leap-forward growth|sustainable water planning|system dynamics modeling|water balance|xinjiang,WATER POLICY,WOS:000407448400010,Simulation of water scarcity in a leap-forward developing arid region: a system dynamics model of Xinjiang Uygur Autonomous Region,2017
33,"Ponce, Roberto D.|Fernandez, Francisco|Stehr, Alejandra|Vasquez-Lavin, Felipe|Godoy-Faundez, Alex",hydro-economic model|climate change|agriculture|irrigation|hydrology,REGIONAL ENVIRONMENTAL CHANGE,WOS:000405800600020,Distributional impacts of climate change on basin communities: an integrated modeling approach,2017
34,"McNeill, Kelsie|Macdonald, Kiera|Singh, Ashutosh|Binns, Andrew D.",global food security|water availability|climate change|hydrological models|spatial resolution,AGRICULTURAL WATER MANAGEMENT,WOS:000413380000010,Food and water security: Analysis of integrated modeling platforms,2017
35,"Zhang, Dianfan|Hu, Jiang|Rong, Yu|Xiaoman, |Cheng, Shuhong|Liu, M|Zhang, ",parallel mechanism|kinematics|error modeling|sensitivity analysis,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON ADVANCES IN MECHANICAL ENGINEERING AND INDUSTRIAL INFORMATICS,WOS:000362291500264,Error modeling and Sensitivity Analysis of 5-DOF Parallel Tripod Head,2015
36,"Tian, Yong|Zheng, Yi|Wu, Bin|Wu, Xin|Liu, Jie|Zheng, Chunmiao",surface water-groundwater interaction|integrated modeling|gsflow|swmm|heihe river basin,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000347362900014,Modeling surface water-groundwater interaction in arid and semi-arid regions with intensive agriculture,2015
