# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-01 19:35:20
item,id,year,title,AU,SO,DE
4696,WOS:000189482200006,2003,Radar precipitation for winter hydrological modelling,"Fassnacht, |Soulis, ED|Kouwen, N|Tachikawa, Y|Vieux, BE|Georgakakos, KP|Nakakita, E",WEATHER RADAR INFORMATION AND DISTRIBUTED HYDROLOGICAL MODELLING,precipitation gauges|snow hydrological modelling|weather radar|winter hydrology
4697,WOS:000244589800005,2007,"Experimental investigation and modelling approach of the impact of urban wastewater on a tropical river; a case study of the Nhue River, Hanoi, Viet Nam","Duc, Trinh Anh|Vachaud, Georges|Bonnet, Marie Paule|Prieur, Nicolas|Loi, Vu Duc|Anh, Le Lan",JOURNAL OF HYDROLOGY,rwqm1|to lich river|nhue river|hanoi|pollution|urbanisation
4698,WOS:000185208000171,2003,Economic benefit's of a technology strategy and R&D program in carbon sequestration,"Klara, S|Beecy, D|Kuuskraa, |DiPietro, P|Gale, J|Kaya, Y","GREENHOUSE GAS CONTROL TECHNOLOGIES, VOLS I AND II, PROCEEDINGS",
4699,WOS:000320386900022,2013,Combining hydrological modeling and GIS approaches to determine the spatial distribution of groundwater recharge in an arid irrigation scheme,"Awan, Usman Khalid|Tischbein, Bernhard|Martius, Christopher",IRRIGATION SCIENCE,
4700,WOS:000385595200026,2016,Controlling HEC-RAS using MATLAB,"Leon, Arturo S.|Goodell, Christopher",ENVIRONMENTAL MODELLING & SOFTWARE,hec-ras|hecrascontroller|matlab|model integration|numerical modeling|optimization
4701,WOS:000379183600001,2016,Predictive Temporal Data-Mining Approach for Evolving Knowledge Based Reservoir Operation Rules,"Mohan, S.|Ramsundram, N.",WATER RESOURCES MANAGEMENT,reservoir operation|data-mining|ann|svr
4702,WOS:A1996TM98600006,1996,Modelling the impact of large herbivores on the food supply of mountain gorillas and implications for management,"Plumptre, AJ",BIOLOGICAL CONSERVATION,feeding competition|ecosystem modelling|mountain gorilla|conservation
4703,WOS:000289791700003,2011,Relevance of Hydro-Climatic Change Projection and Monitoring for Assessment of Water Cycle Changes in the Arctic,"Bring, Arvid|Destouni, Georgia",AMBIO,hydrology|climate change|general circulation models|monitoring|pan-arctic drainage basin|runoff
4704,WOS:000381377700023,2016,Conjunctive Water Use Optimization for Watershed-Lake Water Distribution System under Uncertainty: a Case Study,"Dai, C.|Cai, Y. P.|Lu, W. T.|Liu, H.|Guo, H. C.",WATER RESOURCES MANAGEMENT,conjunctive use|multi-reservoir|lake|water balance|fuzzy credibility|uncertainty
4705,WOS:000327395700015,2013,Impact of climate change on the hydrogeology of two basins in northern France,"Habets, Florence|Boe, Julien|Deque, Michel|Ducharne, Agnes|Gascoin, Simon|Hachour, Ali|Martin, Eric|Page, Christian|Sauquet, Eric|Terray, Laurent|Thiery, Dominique|Oudin, Ludovic|Viennot, Pascal",CLIMATIC CHANGE,
4706,WOS:000402717500001,2017,Estimating extreme river discharges in Europe through a Bayesian network,"Paprotny, Dominik|Morales-Napoles, Oswaldo",HYDROLOGY AND EARTH SYSTEM SCIENCES,
4707,WOS:000173316100031,2001,Development of a coupled surface-groundwater-pipe network model for the sustainable management of karstic groundwater,"Adams, R|Parkin, G|Beck, BF|Herring, JG",GEOTECHNICAL AND ENVIRONMENTAL APPLICATIONS OF KARST GEOLOGY AND HYDROLOGY,
4708,WOS:000362903400008,2015,Design and key techniques of a collaborative virtual flood experiment that integrates cellular automata and dynamic observations,"Li, Yi|Gong, Jianhua|Song, Yiquan|Liu, Zhigang|Ma, Tao|Liu, Heng|Shen, Shen|Li, Wenhang|Yu, Yangyang",ENVIRONMENTAL EARTH SCIENCES,experimental geography|collaborative virtual geographic environment|flood routine
4709,WOS:000351808400003,2015,A quantitative model of first language influence in second language consonant learning,"Gong, Jim|Cooke, Martin|Garcia Lecumberri, Maria Luisa",SPEECH COMMUNICATION,foreign language sound acquisition|consonant identification|rapid learning|computer model
4710,WOS:000271666700007,2009,"Remote sensing based evapotranspiration and runoff modeling of agricultural, forest and urban flux sites in Denmark: From field to macro-scale","Boegh, E.|Poulsen, R. N.|Butts, M.|Abrahamsen, P.|Dellwik, E.|Hansen, S.|Hasager, C. B.|Ibrom, A.|Loerup, J-K.|Pilegaard, K.|Soegaard, H.",JOURNAL OF HYDROLOGY,remote sensing|deterministic modeling|upscaling|evapotranspiration|runoff
4711,WOS:000241716300015,2006,"Integrated modelling of climate change impacts on water resources and quality in a lowland catchment: River Kennet, UK","Wilby, R. L.|Whitehead, P. G.|Wade, A. J.|Butterfield, D.|Davis, R. J.|Watts, G.",JOURNAL OF HYDROLOGY,climate change|uncertainty|downscaling|water resources|water quality|river kennet
4712,WOS:000182610100036,2003,A methodology for assessing the operational-potential of the urban wastewater system using integrated modelling,"Zacharof, AI|Schutze, M|Butler, D","3RD WORLD WATER CONGRESS: WATER SERVICES MANAGEMENT, OPERATIONS AND MONITORING",integrated modelling|optimisation|real-time control|uncertainty|urban wastewater system
4713,WOS:000416850700005,2017,Eco-hydrological modeling of a tropical catchment exposed to anthropogenic pressure and climate impact,"Lorenz, Malte|Zeunert, Stephanie|Hong Quan Nguyen, |Meon, Guenter",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,eco-hydrology|water quality|model|vietnam|climate change
4714,WOS:000290030700110,2007,High Resolution LiDAR DEM - How good is it?,"Vaze, J.|Teng, J.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,dem|lidar|field survey|comparison|hydrological modelling
4715,WOS:000312275800134,2011,Risk Assessment of Disease of Niches' Eaves in the Dazu Rock Carvings based on GIS,"Chen Xing, |Fang Yun, |Chen Xiao-ping, |Yan Xue-feng, |Wu, Y","2011 3RD INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND INFORMATION APPLICATION TECHNOLOGY ESIAT 2011, VOL 10, PT C",niche' eaves of the dazu rock carvings|geographic information system|ahp|disease|quantitative evaluation
4716,WOS:000435610700006,2017,"Impact analysis of satellite rainfall products on flow simulations in the Magdalena River Basin, Colombia","Elgamal, Amr|Reggiani, Paolo|Jonoski, Andreja",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,keywords: satellite precipitation estimates|flow simulations|hydrological modeling|representative elementary watershed (rew) approach|orographic effects
4717,WOS:000304924200002,2012,Development of an Integrated Adaptive Resonance Theory Mapping Classification System for Supporting Watershed Hydrological Modeling,"Chen, Bing|Li, Pu|Husain, Tahir",JOURNAL OF HYDROLOGIC ENGINEERING,classification|fuzzy|hydrological modeling|neural networks|watershed management
4718,WOS:000362843800007,2015,Mapping the Environmental Risk of Antibiotic Contamination by Using Multi-Criteria Decision Analysis,"Kucukdogan, Arin|Guven, Basak|Balcioglu, Isil",CLEAN-SOIL AIR WATER,antibiotic transport|hydrological modeling|marmara region|risk mapping
4719,WOS:000314371700047,2013,Forest management under climatic and social uncertainty: Trade-offs between reducing climate change impacts and fostering adaptive capacity,"Seidl, Rupert|Lexer, Manfred J.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,sustainable forest management|uncertainty assessment|adaptive management|climate change vulnerability|adaptive capacity
4720,WOS:000286629700018,2011,Assessing the Impact of Areal Precipitation Input on Streamflow Simulations Using the SWAT Model1,"Masih, Ilyas|Maskey, Shreedhar|Uhlenbrook, Stefan|Smakhtin, Vladimir",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,precipitation|streamflow|hydrological modeling|swat|spatial and temporal resolution|karkheh basin|iran
4721,WOS:000338605000002,2014,How can functional space for farmland birds best be studied? A comment on Butler and Norris (2013),"Siriwardena, Gavin M.|Baillie, Stephen R.|Fuller, Robert J.|Robinson, Robert A.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,bird-habitat relationships|statistical models|survey data
4722,WOS:000387501900040,2016,The impact of rainfall and land cover changes on the flow of a medium-sized river in the South of Brazil,"Martins, Jorge A.|Brand, Veronika S.|Capucim, Mauricio N.|Machado, Carolyne B.|Allasia Piccilli, Daniel G.|Martins, Leila D.|Valtere, S","INTERNATIONAL SCIENTIFIC CONFERENCE - ENVIRONMENTAL AND CLIMATE TECHNOLOGIES, CONECT 2015",extreme events|rainfall|river stream flow|hydrological modeling
4723,WOS:000179612900007,2003,Climate system modeling in the framework of the tolerable windows approach: The ICLIPS climate model,"Bruckner, T|Hooss, G|Fussel, HM|Hasselmann, K",CLIMATIC CHANGE,
4724,WOS:000366133100005,2015,Implications of water policy reforms for agricultural productivity in South Africa: Scenario analysis based on the Olifants river basin,"Thiam, Djiby Racine|Muchapondwa, Edwin|Kirsten, Johann|Bourblanc, Magalie",WATER RESOURCES AND ECONOMICS,water policy|south africa|olifants river basin|agriculture|water rights|integrated modeling approach
4725,WOS:000385595800016,2016,A python framework for environmental model uncertainty analysis,"White, Jeremy T.|Fienen, Michael N.|Doherty, John E.",ENVIRONMENTAL MODELLING & SOFTWARE,uncertainty analysis|fosm|python|model independent|highly-parameterized|data worth analysis
4726,WOS:000290030702081,2007,Modelling the Hydrological Impacts of Artificial Drainage in the Western Australian Wheatbelt,"Viney, N. R.|Ali, R.|Hodgson, G.|Aryal, S.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,hydrological modelling|salinity|engineered drainage
4727,WOS:000406177500010,2017,Insights into sensitivity analysis of Earth and environmental systems models: On the impact of parameter perturbation scale,"Haghnegahdar, Amin|Razavi, Saman",ENVIRONMENTAL MODELLING & SOFTWARE,sensitivity analysis|perturbation scale|vars|environmental modelling|mesh|swat|hydrogeosphere
4728,WOS:000245182200010,2007,Projecting land use changes in the Neotropics: The geography of pasture expansion into forest,"Wassenaar, T.|Gerber, P.|Verburg, P. H.|Rosales, M.|Ibrahim, M.|Steinfeld, H.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,land use change|clue|projections|deforestation|livestock|pasture|neotropics
4729,WOS:000286782400051,2011,Designing sustainable and economically attractive brownfield revitalization options using an integrated assessment model,"Schaedler, S.|Morio, M.|Bartke, Stephan|Rohr-Zaenker, Ruth|Finkel, M.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,brownfield|integrated assessment|sustainability|remediation cost|decision making|contaminated land appraisal
4730,WOS:000403682600053,2017,A new process sensitivity index to identify important system processes under process model and parametric uncertainty,"Dai, Heng|Ye, Ming|Walker, Anthony P.|Chen, Xingyuan",WATER RESOURCES RESEARCH,
4731,WOS:000307697700046,2012,Novel Dynamic Flux Chamber for Measuring Air-Surface Exchange of Hg-o from Soils,"Lin, Che-Jen|Zhu, Wei|Li, Xianchang|Feng, Xinbin|Sommar, Jonas|Shang, Lihai",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
4732,WOS:000326603200022,2013,Hydrological modelling of a slope covered with shallow pyroclastic deposits from field monitoring data,"Greco, R.|Comegna, L.|Damiano, E.|Guida, A.|Olivares, L.|Picarelli, L.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
4733,WOS:A1995QF93600007,1995,"HYDROLOGICAL MODELING AND THE SUSTAINABLE DEVELOPMENT OF THE HADEJIA-NGURU WETLANDS, NIGERIA","THOMPSON, |HOLLIS, GE",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,
4734,WOS:000171088800012,2001,Geostatistics application for environmental modelling of coal mining area in Vietnam,"Quang, NC|Anh, DL|Xie, HP|Wang, YH|Jiang, YD",COMPUTER APPLICATIONS IN THE MINERALS INDUSTRIES,
4735,WOS:000287437100003,2011,Modeling water resource systems using a service-oriented computing paradigm,"Goodall, Jonathan L.|Robinson, Bella F.|Castronova, Anthony M.",ENVIRONMENTAL MODELLING & SOFTWARE,integrated modeling|systems analysis|web services|water management
4736,WOS:000189487100074,2003,Project-MEMO - Integrated process based enterprise-resource and project planning,"Fraunholz, B|Schauer, H|KhosrowPour, M","INFORMATION TECHNOLOGY AND ORGANIZATIONS: TRENDS, ISSUES, CHALLENGES AND SOLUTIONS, VOLS 1 AND 2",
4737,WOS:000311258600006,2012,A comparison of single- and multi-gauge based calibrations for hydrological modeling of the Upper Daning River Watershed in China's Three Gorges Reservoir Region,"Gong, Yongwei|Shen, Zhenyao|Liu, Ruimin|Hong, Qian|Wu, Xing",HYDROLOGY RESEARCH,calibration|parameter extrapolating|sequential uncertainty fitting version-2|soil and water assessment tool|upper daning river watershed
4738,WOS:000388302900010,2016,Delineating floodplain and upland areas for hydrologic models: a comparison of methods,"Rathjens, H.|Bieger, K.|Chaubey, I.|Arnold, J. G.|Allen, P. M.|Srinivasan, R.|Bosch, D. D.|Volk, M.",HYDROLOGICAL PROCESSES,landscape units|watershed discretization|hydrological modelling|dem|terrain analysis|swat
4739,WOS:000318281000005,2013,Translation of UML state machines to Modelica: Handling semantic issues,"Schamai, Wladimir|Fritzson, Peter|Paredis, Chris J. J.",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,uml|modelica|modelicaml|execution semantics|state machine|statechart
4740,WOS:000418736700011,2017,Are Model Transferability And Complexity Antithetical? Insights From Validation of a Variable-Complexity Empirical Snow Model in Space and Time,"Lute, A. C.|Luce, Charles H.",WATER RESOURCES RESEARCH,
4741,WOS:000334068400001,2014,Structural Equation Modeling Approaches for Analyzing Partially Nested Data,"Sterba, Sonya K.|Preacher, Kristopher J.|Forehand, Rex|Hardcastle, Emily J.|Cole, David A.|Compas, Bruce E.",MULTIVARIATE BEHAVIORAL RESEARCH,
4742,WOS:000323627400054,2013,Decisions on land conservation practices in a semi-arid region considering hydrological and social drivers,"Alcantara, Hugo M.|Cunha, John E. B. L.|Galvao, Carlos O.|Taveira, Itamara M. L. M.|Boegh, E|Blyth, E|Hannah, DM|Hisdal, H|Kunstmann, H|Su, B|Yilmaz, KK",CLIMATE AND LAND SURFACE CHANGES IN HYDROLOGY,semi-arid|swat|land use|remote sensing
4743,WOS:000413272600001,2017,Conflicts of economic interests by limiting global warming to+3 A degrees C,"Aaheim, Asbjorn|Wei, Taoyuan|Romstad, Bard",MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,climate change|conflicts of interest|cge modelling|economic impacts|integrated assessment
4744,WOS:000249942500006,2007,Snowmelt runoff sensitivity analysis to drought on the Canadian prairies,"Fang, Xing|Pomeroy, John W.",HYDROLOGICAL PROCESSES,prairie runoff|snowmelt|snow accumulation|blowing snow|modelling|infiltration to frozen soil|drought|climate impacts|cold regions hydrological model
4745,WOS:000317028300016,2013,Obtaining natural-like flow releases in diverted river reaches from simple riparian benefit economic models,"Perona, Paolo|Duerrenmatt, David J.|Characklis, Gregory W.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,riparian benefit functions|non-traditional water uses|river impoundment|principle of equal marginal utility|inverse techniques|sustainable flow releases|small-hydropower
4746,WOS:000329836900019,2014,Assessing the quality of life history information in publicly available databases,"Thorson, James T.|Cope, Jason M.|Patrick, Wesley S.",ECOLOGICAL APPLICATIONS,bayesian|error-in-variables|global database|life history parameter
4747,WOS:000414896200152,2017,An Integrated Assessment Framework of Offshore Wind Power Projects Applying Equator Principles and Social Life Cycle Assessment,"Tseng, Yu-Che|Lee, Yuh-Ming|Liao, Shih-Jung",SUSTAINABILITY,project finance|strategic environmental assessment|case study|stakeholder engagement
4748,WOS:000314989303075,2011,On climate variability and climate change and impact on water resources,"Chiew, Francis H. S.|Prosser, Ian P.|Post, David A.|Chan, F|Marinova, D|Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),climate variability|climate change|water resources|climate change adaptation|australia
4749,WOS:000236510100012,2006,Improved estimates of net primary productivity from MODIS satellite data at regional and local scales,"Pan, Y|Birdsey, R|Hom, J|McCullough, K|Clark, K",ECOLOGICAL APPLICATIONS,ecosystem modeling|forest inventory data|modis|net primary production (npp)|soil water index
4750,WOS:000413882400023,2017,Minimization of model representativity errors in identification of point source emission from atmospheric concentration measurements,"Sharan, Maithili|Singh, Amit Kumar|Singh, Sarvesh Kumar",ATMOSPHERIC ENVIRONMENT,inverse modelling|linear regression|least square|model representativity errors|renormalization|source identification
4751,WOS:000297377000002,2011,Integrated Dynamic Modeling of Contaminant Fate and Transport within a Soil-Plant System,"Goktas, Recep Kaya|Aral, Mustafa M.",VADOSE ZONE JOURNAL,
4752,WOS:000189482200017,2003,Distributed hydrological modelling in the Yata watershed using the WEP model and propagation of rainfall estimation error,"Jia, YW|Kinouchi, T|Yoshitani, JU|Tachikawa, Y|Vieux, BE|Georgakakos, KP|Nakakita, E",WEATHER RADAR INFORMATION AND DISTRIBUTED HYDROLOGICAL MODELLING,groundwater level|hydrological model|rainfall estimation error|radar|urbanization|water balance|wep|yata watershed
4753,WOS:000300016000016,2011,TREATMENT OF THE ERROR DUE TO UNRESOLVED SCALES IN SEQUENTIAL DATA ASSIMILATION,"Carrassi, Alberto|Vannitsem, Stephane",INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,data assimilation|kalman filter|model error
4754,WOS:000413085800004,2017,A Modeling Framework for Business Process Reengineering Using Big Data Analytics and A Goal-Orientation,"Park, Grace|Chung, Lawrence|Khan, Latifur|Park, Sooyong|Assar, S|Pastor, O|Mouratidis, H",2017 11TH INTERNATIONAL CONFERENCE ON RESEARCH CHALLENGES IN INFORMATION SCIENCE (RCIS),business process reengineering|big data analytics|goal-orientation|business process|business analytics
4755,WOS:000261872800007,2009,Scenario analysis for the role of sanitation infrastructures in integrated urban wastewater management,"Devesa, F.|Comas, J.|Turon, C.|Freixo, A.|Carrasco, F.|Poch, M.",ENVIRONMENTAL MODELLING & SOFTWARE,model integration|water quality|water framework directive|management scenarios|catchment|ammonia concentration|expert knowledge|sanitation infrastructure control
4756,WOS:000381718100003,2016,"Discharge sensitivity to snowmelt parameterization: a case study for Upper Beas basin in Himachal Pradesh, India","Hegdahl, Trine J.|Tallaksen, Lena M.|Engeland, Kolbjorn|Burkhart, John F.|Xu, Chong-Yu",HYDROLOGY RESEARCH,discharge/runoff|glacier|himalaya|hydrological modelling|snowmelt parameterization
4757,WOS:000272019300014,2009,Modelling the effects of land-use change on runoff and sediment yield for a meso-scale catchment in the Southern Pyrenees,"Mueller, Eva Nora|Francke, Till|Batalla, Ramon J.|Bronstert, Axel",CATENA,land-use change|afforestation|land abandonment|hydrological modelling|sediment yield
4758,WOS:000294459800001,2011,Nuclear Versus Coal plus CCS: a Comparison of Two Competitive Base-Load Climate Control Options,"Tavoni, Massimo|van der Zwaan, Bob",ENVIRONMENTAL MODELING & ASSESSMENT,economic competition|electricity sector|nuclear power|coal power|ccs|renewables|climate policy
4759,WOS:000088879600007,2000,Integrated modelling of the soil-water-atmosphere-plant system using the model SWAP 2.0 an overview of theory and an application,"Kroes, JG|Wesseling, JC|Van Dam, JC",HYDROLOGICAL PROCESSES,swap|soil-water transport|irrigation|drainage|solute transport|heat transport|crop growth|sensitivity analysis
4760,WOS:000343613200046,2014,Evaluating the impact of climate change on groundwater resources in a small Mediterranean watershed,"Erturk, Ali|Ekdal, Alpaslan|Gurel, Melike|Karakaya, Nusret|Guzel, Cigdem|Gonenc, Ethem",SCIENCE OF THE TOTAL ENVIRONMENT,koycegiz-dalyan watershed|groundwater dependent ecosystems|regional climate models|swat|hydrological modeling
4761,WOS:000230933100001,2005,"An integrated modeling approach to total watershed management: Water quality and watershed assessment of Cheney Reservoir, Kansas, USA","Wang, SH|Huggins, DG|Frees, L|Volkman, CG|Lim, NC|Baker, DS|Smith, |Denoyelles, F",WATER AIR AND SOIL POLLUTION,eutrophication|lake modeling|sedimentation|watershed management|watershed modeling
4762,WOS:000359136600078,2014,Influence of the Initialization of Multilayer Perceptron for Flash Flood Forecasting: Design of a Robust Model,"Darras, Thomas|Johannet, Anne|Vayssade, Bernard|Kong-A-Siou, Line|Pistre, Severin",INTERNATIONAL WORK-CONFERENCE ON TIME SERIES (ITISE 2014),flash flood|forecasting|neural network|model selection|cross validation
4763,WOS:000298299702027,2011,Integrated modelling and simulation of a 400 MW NGCC power plant with CO2 capture,"Sipocz, Nikolett|Tobiesen, Andrew|Assadi, Mohsen|Gale, J|Hendriks, C|Turkenberg, W",10TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES,post-combustion co2 capture|mea|ngcc|economics
4764,WOS:000405994900005,2017,Identification of the Joint Effect of a Dynamic Treatment Intervention and a Stochastic Monitoring Intervention Under the No Direct Effect Assumption,"Neugebauer, Romain|Schmittdiel, Julie A.|Adams, Alyce S.|Grant, Richard W.|van der Laan, Mark J.",JOURNAL OF CAUSAL INFERENCE,counterfactual identifiability|dynamic intervention|effect of monitoring|no direct effect assumption|stochastic intervention|time-varying treatment
4765,WOS:A1993MU59600012,1993,INTEGRATED MODELING OF ELECTROMECHANICAL PRODUCTS,"TANG, Y|BRUNEL, Y|GOUBERTIER, P|MORELLI, A",COMPUTERS IN INDUSTRY,design process|integrated product modeling|object-oriented data base|parts model
4766,WOS:000387696400013,2016,"Streamflow Prediction of Karuvannur River Basin Using ANFIS, ANN and MNLR Models","Anusree, K.|Varghese, K. O.|Viswanathan, C|Kumar, RS","INTERNATIONAL CONFERENCE ON EMERGING TRENDS IN ENGINEERING, SCIENCE AND TECHNOLOGY (ICETEST - 2015)",neural networks|fuzzy inference system|multiple nonlinear regression|hydrological modeling
4767,WOS:000396346700009,2017,Industrial ecology in integrated assessment models,"Pauliuk, Stefan|Arvesen, Anders|Stadler, Konstantin|Hertwich, Edgar G.",NATURE CLIMATE CHANGE,
4768,WOS:000313637300143,2010,INTEGRATING A GIS BASED LAND-USE TRANSPORT MODEL AND CLIMATE CHANGE IMPACT ASSESSMENT ANALYSIS FOR SUSTAINABLE URBAN DEVELOPMENT OF LONDON TO 2100,"Ford, Alistair|Barr, Stuart|Dawson, Richard|Batty, Michael|Hall, Jim|Teng, JG",PROCEEDINGS OF THE FIRST INTERNATIONAL CONFERENCE ON SUSTAINABLE URBANIZATION (ICSU 2010),climate change|cities|spatial simulation|flood risk|land-use
4769,WOS:000252946500004,2008,Integrated biophysical and economic modelling framework to assess impacts of alternative groundwater management options,"Qureshi, M. E.|Qureshi, S. E.|Bajracharya, K.|Kirby, M.",WATER RESOURCES MANAGEMENT,groundwater|hydrologic|agronomic|economic|simulation|mathematical modelling|optimisation
4770,WOS:000398135300079,2017,Socioeconomic impact assessment of China's CO2 emissions peak prior to 2030,"Mi, Zhifu|Wei, Yi-Ming|Wang, Bing|Meng, Jing|Liu, Zhu|Shan, Yuli|Liu, Jingru|Guan, Dabo",JOURNAL OF CLEANER PRODUCTION,carbon emissions|peak|input-output|optimization model|integrated assessment model|china
4771,WOS:000357968700008,2014,"A modelling framework to project future climate change impacts on streamflow variability and extremes in the West River, China","Fei, Yuan|Yeou-Koung, Tung|Ren Liliang, |Castellarin, A|Ceola, S|Toth, E|Montanari, A","EVOLVING WATER RESOURCES SYSTEMS: UNDERSTANDING, PREDICTING AND MANAGING WATER-SOCIETY INTERACTIONS",climate change|streamflow|variability|flood|delta-change method|bootstrapping
4772,WOS:000408755300001,2017,Assessing the use of delta O-18 in phosphate as a tracer for catchment phosphorus sources,"Tonderski, Karin|Andersson, Lotta|Lindstrom, Goran|St Cyr, Rasmus|Schoenberg, Ronny|Taubald, Heinrich",SCIENCE OF THE TOTAL ENVIRONMENT,drainage pipes|hydrological pathways|oxygen isotopes|sewage|source apportionment
4773,WOS:000326902700008,2013,"The impacts of climate variability and human activities on streamflow in Bai River basin, northern China","Zhan, Chesheng|Niu, Cunwen|Song, Xiaomeng|Xu, Chongyu",HYDROLOGY RESEARCH,climate variability|human activity|hydrologic response|northern china|streamflow
4774,WOS:000377856100009,2016,A hybrid model to simulate the annual runoff of the Kaidu River in northwest China,"Xu, Jianhua|Chen, Yaning|Bai, Ling|Xu, Yiwen",HYDROLOGY AND EARTH SYSTEM SCIENCES,
4775,WOS:000168387100010,2001,Case study on impact of atmospheric circulation changes on river basin hydrology: uncertainty aspects,"Kaleris, |Papanastasopoulos, D|Lagas, G",JOURNAL OF HYDROLOGY,climate change|downscaling|hydrological modeling
4776,WOS:000289161600003,2011,Development of a modeling technique for the investigation of muscle activity and its effect on bone stresses in the human leg during an isometric exercise,"Florio, Catherine S.|Narh, Kwabena A.",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,bone stress distribution|finite element model|gradient projection optimization|isometric exercise|multibone leg system|muscle force prediction
4777,WOS:000292750400026,2010,Idioms for Collaborative Government Networks - Conceptualization and Applications to Seamless Services,"Estevez, Elsa|Ojo, Adegboyega|Janowski, Tomasz|CamarinhaMatos, LM|Boucher, |Afsarmanesh, H",COLLABORATIVE NETWORKS FOR A SUSTAINABLE WORLD,modeling collaborative networked organizations|idioms for collaborative government networks|seamless public services
4778,WOS:A1995UE15800122,1995,Developing optimal abatement strategies for the effects of sulphur and nitrogen deposition at European scale,"Gough, CA|Chadwick, MJ|Biewald, B|Kuylenstierna, JCI|Bailey, PD|Cinderby, S",WATER AIR AND SOIL POLLUTION,integrated assessment modelling|eutrophication|acidification
4779,WOS:000346654600007,2014,Hybrid modeling and receding horizon control of sewer networks,"Joseph-Duran, Bernat|Ocampo-Martinez, Carlos|Cembrano, Gabriela",WATER RESOURCES RESEARCH,
4780,WOS:000222544000004,2004,Hydrological modelling of a small watershed using generated rainfall in the soil and water assessment tool model,"Tripathi, MP|Panda, RK|Raghuwanshi, NS|Singh, R",HYDROLOGICAL PROCESSES,gis|generated rainfall|hydrological modelling|runoff|sediment yield|swat model|watershed and subwatershed
4781,WOS:000236253402039,2005,A simulation environment for the redesign of food supply chain networks: Modeling quality controlled logistics,"Van der Vorst, JGAJ|Tromp, S|Van der Zee, DJ|Kuhl, ME|Steiger, NM|Armstrong, FB|Joines, JA","PROCEEDINGS OF THE 2005 WINTER SIMULATION CONFERENCE, VOLS 1-4",
4782,WOS:000268672300025,2009,Distributed simulation of basin water cycle under changing environment,"Zhu, R.|Liu, C.|Taniguchi, M|Burnett, WC|Fukushima, Y|Haigh, M|Umezawa, Y",FROM HEADWATERS TO THE OCEAN: HYDROLOGICAL CHANGES AND WATERSHED MANAGEMENT,hydroinformatic modeling system|distributed hydrological model|integrated water resources management|hydrological process
4783,WOS:000323019800015,2013,A simplified model of soakaway infiltration interaction with a shallow groundwater table,"Roldin, Maria|Locatelli, Luca|Mark, Ole|Mikkelsen, Peter S.|Binning, Philip J.",JOURNAL OF HYDROLOGY,soakaway|stormwater infiltration|groundwater mound|integrated modeling
4784,WOS:000408356600030,2017,Review of literature on decision support systems for natural hazard risk reduction: Current status and future research directions,"Newman, Jeffrey Peter|Maier, Holger Robert|Riddell, Graeme Angus|Zecchin, Aaron Carlo|Daniell, James Edward|Schaefer, Andreas Maximilian|van Delden, Hedwig|Khazai, Bijan|O'Flaherty, Michael John|Newland, Charles Peter",ENVIRONMENTAL MODELLING & SOFTWARE,decision support systems|future change|natural hazards|risk reduction|exposure|vulnerability
4785,WOS:000301332800005,2012,MODELING BOUNDARIES BETWEEN CONVERGING FRONTS IN PREHISTORY,"Silva, Fabio|Steele, James",ADVANCES IN COMPLEX SYSTEMS,fisher-kpp|human dispersals|voronoi diagram|fast marching method|early pottery|neolithic transition|african early iron age
4786,WOS:A1994NH00100007,1994,TESTING FOREST-BGC ECOSYSTEM PROCESS SIMULATIONS ACROSS A CLIMATIC GRADIENT IN OREGON,"RUNNING, SW",ECOLOGICAL APPLICATIONS,carbon cycle|conifer forest|ecosystem model|ecosystem remote sensing|hydrologic cycle|leaf area index|model validation|net primary production|oregon transect|otter project|stem biomass|transpiration
