# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-01 19:35:20
item,id,year,title,AU,SO,DE
45,WOS:000334414900002,2014,The role of technology for achieving climate policy objectives: overview of the EMF 27 study on global technology and climate policy strategies,"Kriegler, Elmar|Weyant, John P.|Blanford, Geoffrey J.|Krey, Volker|Clarke, Leon|Edmonds, Jae|Fawcett, Allen|Luderer, Gunnar|Riahi, Keywan|Richels, Richard|Rose, Steven K.|Tavoni, Massimo|van Vuuren, Detlef P.",CLIMATIC CHANGE,
46,WOS:000243760600007,2007,Uncertainties in real-time flood forecasting with neural networks,"Han, Dawei|Kwong, Terence|Li, Simon",HYDROLOGICAL PROCESSES,artificial neural networks|rainfall-runoff forecasting|bootstrap|hydrological modelling|transfer function|distance analysis|response analysis|uncertainty
47,WOS:000407987400007,2017,Climate Change Impacts on Harmful Algal Blooms in US Freshwaters: A Screening-Level Assessment,"Chapra, Steven C.|Boehlert, Brent|Fant, Charles|Bierman, Victor J.|Henderson, Jim|Mills, David|Mas, Diane M. L.|Rennels, Lisa|Jantarasami, Lesley|Martinich, Jeremy|Strzepek, Kenneth M.|Paerl, Hans W.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
48,WOS:000391653400104,2016,"USING SWAT MODEL AND PROBA-V MULTISPECTRAL DATA TO ASSESS WATER QUALITY IN CALMATUI RIVER BASIN, ROMANIA","Dunea, Daniel|Iordache, Stefania","WATER, RESOURCES, FOREST, MARINE AND OCEAN ECOSYSTEMS CONFERENCE PROCEEDINGS, VOL I",water quality monitoring|proba-v|phosphorous|swat model|environmental modeling
49,WOS:000414166600008,2017,"From overexploitation to sustainable use, an overview of 160 years of water extraction in the Amsterdam dunes, the Netherlands","Geelen, L. H. W. T.|Kamps, P. T. W. J.|Olsthoorn, T. N.",JOURNAL OF COASTAL CONSERVATION,dune slack restoration|watersupply amsterdam|coastal dunes|eco-hydrology
50,WOS:000189396300039,2003,Efficient modeling of asymmetric distributed algorithms through SWN nets: An example,"Capra, L|Callaos, N|Lesso, W|Sanchez, B|Li, S","7TH WORLD MULTICONFERENCE ON SYSTEMICS, CYBERNETICS AND INFORMATICS, VOL XIV, PROCEEDINGS",distributed algorithms|petri nets|quotient state-spaces|symmetries
51,WOS:000382269500015,2016,"Hydrological modeling of a watershed affected by acid mine drainage (Odiel River, SW Spain). Assessment of the pollutant contributing areas","Galvan, L.|Olias, M.|Canovas, C. R.|Sarmiento, A. M.|Nieto, J. M.",JOURNAL OF HYDROLOGY,acidity|metals|mining pollution|odiel|swat
52,WOS:000251196900005,2008,From traffic flow simulations to pollutant concentrations in street canyons and backyards,"Mensink, Clemens|Cosemans, Guido",ENVIRONMENTAL MODELLING & SOFTWARE,street canyons|gaussian modelling|air quality|road transport emissions|ospm|ifdm|no2|pm10|pm2.5
53,WOS:000298024900029,2011,A new automatic calibration approach based on rating curves: first results with ENVISAT altimetric data,"Getirana, Augusto C. V.|Hafeez, M|VanDeGiesen, N|Bardsley, E|Seyler, F|Pail, R|Taniguchi, M","GRACE, REMOTE SENSING AND GROUND-BASED METHODS IN MULTI-SCALE HYDROLOGY",automatic calibration|spatial altimetry|hydrological modelling|rating curve
54,WOS:000412778000002,2017,Optimization of hydrometric monitoring network in urban drainage systems using information theory,"Yazdi, J.",WATER SCIENCE AND TECHNOLOGY,entropy|information theory|monitoring|optimization|urban drainage
55,WOS:000326900300101,2013,Effects of the vegetation on the hydrological behavior of a loose pyroclastic deposit,"Comegna, Luca|Damiano, Emilia|Greco, Roberto|Guida, Andrea|Olivares, Lucio|Picarelli, Luciano|Romano, N|DUrso, G|Severino, G|Chirico, GB|Palladino, M",FOUR DECADES OF PROGRESS IN MONITORING AND MODELING OF PROCESSES IN THE SOIL-PLANT-ATMOSPHERE SYSTEM: APPLICATIONS AND CHALLENGES,leaf area index|interception capacity|hydrological modeling|rainfall-induced landslides
56,WOS:000220348500004,2004,"Tarsier: a practical software framework for model development, testing and deployment","Watson, FGR|Rahman, JM",ENVIRONMENTAL MODELLING & SOFTWARE,environment|modeling|software|framework|integration|visualization
57,WOS:000167889000017,2001,An optimization model for the control of regional air quality in Europe,"Amann, M|Heyes, C|Makowski, M|Schopp, W|Linders, JBH",MODELLING OF ENVIRONMENTAL CHEMICAL EXPOSURE AND RISK,
58,WOS:000392678200004,2017,"Assessment of contaminant concentrations in sediments, fish and mussels sampled from the North Atlantic and European regional seas within the ICON project","Robinson, Craig D.|Webster, Lynda|Martinez-Gomez, Concepcion|Burgeot, Thierry|Gubbins, Matthew J.|Thain, John E.|Vethaak, A. Dick|McIntosh, Alistair D.|Hylland, Ketil",MARINE ENVIRONMENTAL RESEARCH,integrated assessment|ices|north atlantic|north sea|baltic sea|mediterranean sea|polycyclic aromatic hydrocarbons (pahs)|polychlorinated biphenyls (pcbs)|trace metals|environmental monitoring
59,WOS:000251897200002,2008,Coupled hydrological-economic modelling for optimised irrigated cultivation in a semi-arid catchment of West Africa,"Ahrends, H.|Mast, M.|Rodgers, Ch.|Kunstmann, H.",ENVIRONMENTAL MODELLING & SOFTWARE,model coupling|distributed hydrological modelling|economic modelling|non-linear programming|irrigated agriculture|decision support|west africa
60,WOS:000238522100011,2006,Radionuclides in fruit systems: Model-model intercomparison study,"Linkov, |Carini, F|Collins, C|Eged, K|Mitchell, NG|Mourlon, C|Ould-Dada, Z|Robles, B|Sweeck, L|Venter, A",SCIENCE OF THE TOTAL ENVIRONMENT,radionuclides|fruits|model-testing|cs-137|strawberry|apple|blackcurrant
61,WOS:000312386000047,2012,A Software Tool for Earth Surface Modeling of Environmental variables,"Wang, Chen-Liang|Yue, Tian-Xiang|Yang, Z|Chen, B",18TH BIENNIAL ISEM CONFERENCE ON ECOLOGICAL MODELLING FOR GLOBAL CHANGE AND COUPLED HUMAN AND NATURAL SYSTEM,surface modeling|ecosystem modeling|hasm|heterogeneity|multi-scale
62,WOS:000370410302071,2013,Hybrid Modelling for Rainfall-Recharge System Using Neural Network,"Guo, Kun|Hong, Yoon-Seok Timothy|Bhamidimarri, Rao|Chen, Daqing|Zhaoyin, W|Lee, JHW|Jizhang, G|Shuyou, C","PROCEEDINGS OF THE 35TH IAHR WORLD CONGRESS, VOLS III AND IV",hybrid modelling|rainfall-recharge system|soil moisture balance|neural network
