# Data from Clarivate Analytics' Web of Science, retrieved 24 February 2018
# This file generated on 2019-02-24 17:43:18
item,id,year,title,AU,SO,DE
30,WOS:000453497700001,2018,An activity-based modelling framework for quantifying occupants' energy consumption in residential buildings,"Leroy, Yann|Yannou, Bernard",COMPUTERS IN INDUSTRY,energy modelling framework|simulation model|residential building|occupant behaviour|household profile|domestic activity
31,WOS:000274058900009,2010,Characteristics of 2-D convective structures in Catalonia (NE Spain): an analysis using radar data and GIS,"Barnolas, M.|Rigo, T.|Llasat, M. C.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
32,WOS:000418466000056,2017,MOT Knowledge Model Integration Rules for Knowledge Warehousing,"Ayadi, Rim|Hachaichi, Yasser|Feki, Jamel|ZanniMerk, C|Frydman, C|Toro, C|Hicks, Y|Howlett, RJ|Jain, LC",KNOWLEDGE-BASED AND INTELLIGENT INFORMATION & ENGINEERING SYSTEMS,knowledge warehouse|knowledge integration|mot knowledge|semantic relationships|integration rules
33,WOS:000455803400008,2017,Uncovering the Dynamics of Crowdlearning and the Value of Knowledge,"Upadhyay, Utkarsh|Valera, Isabel|Gomez-Rodriguez, Manuel",WSDM'17: PROCEEDINGS OF THE TENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING,user modelling|education|markets and crowds|social and information networks
34,WOS:000366771400065,2015,"Heavy metals distribution and environmental quality assessment for sediments off the southern coast of the Shandong Peninsula, China","Liu, Shanshan|Zhang, Yong|Bi, Shipu|Zhang, Xiaobo|Li, Xiaoyue|Lin, Manman|Hu, Gang",MARINE POLLUTION BULLETIN,the southern coast of the shandong peninsula|sediment|heavy metals|environmental assessment
35,WOS:000317028300016,2013,Obtaining natural-like flow releases in diverted river reaches from simple riparian benefit economic models,"Perona, Paolo|Duerrenmatt, David J.|Characklis, Gregory W.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,riparian benefit functions|non-traditional water uses|river impoundment|principle of equal marginal utility|inverse techniques|sustainable flow releases|small-hydropower
36,WOS:000171692200005,2001,"Nitrogen concentrations simulated with HBV-N: New response function and calibration strategy - Paper presented at the Nordic Hydrological Conference (Uppsala, Sweden June, 2000)","Pettersson, A|Arheimer, B|Johansson, B",NORDIC HYDROLOGY,
37,WOS:000220457200003,2004,Runoff generation from logged and burnt convergent hillslopes: rainfall simulation and modelling,"Lane, PNJ|Croke, JC|Dignan, P",HYDROLOGICAL PROCESSES,subsurface flow|convergent topography|rainfall simulator|forest soils|modelling|topog|logging|filter strips
38,WOS:000283700900016,2010,The impact of changing agricultural policies on jointly used rough pastures in the Bavarian Pre-Alps: An economic and ecological scenario approach,"Roeder, Norbert|Lederbogen, Dirk|Trautner, Juergen|Bergamini, Ariel|Stofer, Silvia|Scheidegger, Christoph",ECOLOGICAL ECONOMICS,agriculture|cap|decoupling|biodiversity|ec habitats directive|agent-based modelling
39,WOS:000312386000092,2012,Using Cellular Automata to study the effect of competition for epidemic diseases,"Li, W. D.|Guo, X. H.|Yang, Z|Chen, B",18TH BIENNIAL ISEM CONFERENCE ON ECOLOGICAL MODELLING FOR GLOBAL CHANGE AND COUPLED HUMAN AND NATURAL SYSTEM,cellular automata|spatial pattern|competition model|eco-epidemiology|time series analysis
40,WOS:000280971300008,2010,Social multi-criteria evaluation as a decision support tool for integrated coastal zone management,"Garmendia, Eneko|Gamboa, Gonzalo|Franco, Javier|Garmendia, Joxe Mikel|Liria, Pedro|Olazabal, Marta",OCEAN & COASTAL MANAGEMENT,
41,WOS:000321573500006,2013,An Integrated Assessment of the Impacts of Changing Climate Variability on Agricultural Productivity and Profitability in an Irrigated Mediterranean Catchment,"Dono, Gabriele|Cortignani, Raffaele|Doro, Luca|Giraldo, Luca|Ledda, Luigi|Pasqui, Massimiliano|Roggero, Pier Paolo",WATER RESOURCES MANAGEMENT,discrete stochastic programming|climate change variability|adaptation to climate change|net evapotranspiration and irrigation requirements|water availability|epic crops model|economic impact of climate change
42,WOS:000290291100002,2011,An agent-based simulation model of human-environment interactions in agricultural systems,"Schreinemachers, Pepijn|Berger, Thomas",ENVIRONMENTAL MODELLING & SOFTWARE,impact assessment|integrated modeling|land use cover change|mathematical programming|multi-|agent systems|technology adoption
43,WOS:A1997BH23R00017,1997,Cross media coupling of mass balance models for toxic chemicals on massively parallel platforms,"Green, ML|DePinto, JV|Delic, G|Wheeler, MF",NEXT GENERATION ENVIRONMENT MODELS AND COMPUTATIONAL METHODS,
44,WOS:000333506100011,2014,The economic impact of extreme sea-level rise: Ice sheet vulnerability and the social cost of carbon dioxide,"Pycroft, Jonathan|Vergano, Lucia|Hope, Chris",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,climate change|integrated assessment models|social cost of carbon dioxide|sea-level rise
45,WOS:000406436000032,2017,The Benthic Invertebrates Floodplain Index - Extending the assessment approach,"Funk, Andrea|Trauner, Daniel|Reckendorfer, Walter|Hein, Thomas",ECOLOGICAL INDICATORS,macroinvertebrate|biotic index|ecological status|eu wfd|river-floodplain system|wetland
46,WOS:000267543200009,2009,How crucial is it to account for the antecedent moisture conditions in flood forecasting? Comparison of event-based and continuous approaches on 178 catchments,"Berthet, L.|Andreassian, V.|Perrin, C.|Javelle, P.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
47,WOS:000331688500001,2014,A temporal GIS for field based environmental modeling,"Gebberta, Soeren|Pebesma, Edzer",ENVIRONMENTAL MODELLING & SOFTWARE,temporal gis|spatio-temporal modeling|grass gis|tgrass
48,WOS:000436600400015,2015,The character and causes of flash flood occurrence changes in mountainous small basins of Southern California under projected climatic change,"Modrick, Theresa M.|Georgakakos, Konstantine P.",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,flash flooding|climate change|soil moisture|precipitation|distributed hydrologic modeling
49,WOS:000227657400002,2005,Modelling and simulation of ecological propagation processes: application to fire spread,"Muzy, A|Innocenti, E|Aiello, A|Santucci, JF|Santoni, PA|Hill, DRC",ENVIRONMENTAL MODELLING & SOFTWARE,fire spread modelling|fire spread simulation|propagation process|object oriented technique|discrete event simulation|model driven architecture
50,WOS:000391006000031,2016,A framework of integrated hydrological and hydrodynamic models using synthetic rainfall for flash flood hazard mapping of ungauged catchments in tropical zones,"Lohpaisankrit, Worapong|Meon, Guenter|Tingsanchali, Tawatchai|Schumann, AH|Bloschl, G|Castellarin, A|Dietrich, J|Grimaldi, S|Haberlandt, U|Montanari, A|Rosbjerg, D|Viglione, A|Vorogushyn, S",SPATIAL DIMENSIONS OF WATER MANAGEMENT - REDISTRIBUTION OF BENEFITS AND RISKS,
51,WOS:A1996WB62400002,1996,Integrated assessment: A growing child on its way to maturity - An editorial essay,"Rotmans, J|VanAsselt, M",CLIMATIC CHANGE,
52,WOS:000371488300008,2016,Towards a global water scarcity risk assessment framework: incorporation of probability distributions and hydro-climatic variability,"Veldkamp, T. I. E.|Wada, Y.|Aerts, J. C. J. H.|Ward, P. J.",ENVIRONMENTAL RESEARCH LETTERS,water scarcity|risk assessment|climate change|socioeconomic developments|global hydrological modeling|water resources|probabilistic methods
53,WOS:000294649000009,2011,Structural uncertainty assessment in a discharge simulation model,"Zhang, Xiaoyong|Hoermann, Georg|Gao, Junfeng|Fohrer, Nicola",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,"hydrological modelling|perceptual model|model structural uncertainty|kielstau, germany|xitaoxi, china|pcraster"
54,WOS:000443162000002,2018,How good are hydrological models for gap-filling streamflow data?,"Zhang, Yongqiang|Post, David",HYDROLOGY AND EARTH SYSTEM SCIENCES,
55,WOS:000364249500092,2015,Hydrological modelling for flood forecasting: Calibrating the post-fire initial conditions,"Papathanasiou, C.|Makropoulos, C.|Mimikou, M.",JOURNAL OF HYDROLOGY,hydrological modelling|forest fire impact|initial soil moisture|periurban catchments|mediterranean areas
56,WOS:000436515100021,2018,Parameter Uncertainty Analysis of the SWAT Model in a Mountain-Loess Transitional Watershed on the Chinese Loess Plateau,"Zhao, Fubo|Wu, Yiping|Qiu, Linjing|Sun, Yuzhu|Sun, Liqun|Li, Qinglan|Niu, Jun|Wang, Guoqing",WATER,glue|hydrological model|parasol|sufi2|uncertainty analysis
